Campaign name,Ad set name,Day,Amount spent (USD),Impressions,Link clicks,Results,Purchases conversion value
Summer Skincare - Prospecting,US - Broad,2025-06-01,300,40000,900,60,720
Summer Skincare - Prospecting,US - Broad,2025-06-02,320,42000,950,66,800
Summer Skincare - Prospecting,US - Broad,2025-06-03,310,41000,930,64,790
Summer Skincare - Prospecting,US - Broad,2025-06-04,330,43000,980,70,860
Summer Skincare - Prospecting,US - Lookalike 1%,2025-06-01,250,30000,600,20,180
Summer Skincare - Prospecting,US - Lookalike 1%,2025-06-02,260,31000,610,16,150
Summer Skincare - Prospecting,US - Lookalike 1%,2025-06-03,255,30500,590,12,110
Summer Skincare - Prospecting,US - Lookalike 1%,2025-06-04,260,31000,600,9,90
Summer Skincare - Retargeting,US - Retarget,2025-06-01,120,15000,300,14,150
Summer Skincare - Retargeting,US - Retarget,2025-06-02,118,14800,290,12,140
Summer Skincare - Retargeting,US - Retarget,2025-06-03,122,15200,310,13,145
Summer Skincare - Retargeting,US - Retarget,2025-06-04,120,15000,300,14,150
